Date,Open,High,Low,Close,Adj Close,Volume
2019-05-16,51700.000000,52000.000000,49800.000000,49950.000000,49950.000000,123405
2019-05-17,50500.000000,51000.000000,48650.000000,49050.000000,49050.000000,126351
2019-05-20,49600.000000,51800.000000,49600.000000,51300.000000,51300.000000,255134
2019-05-21,51300.000000,52300.000000,50700.000000,52000.000000,52000.000000,125396
2019-05-22,52000.000000,52200.000000,50700.000000,51300.000000,51300.000000,95028
2019-05-23,51100.000000,51100.000000,48250.000000,48450.000000,48450.000000,245325
2019-05-24,48350.000000,48800.000000,46400.000000,46900.000000,46900.000000,225615
2019-05-27,46900.000000,48100.000000,46550.000000,46800.000000,46800.000000,160649
2019-05-28,47250.000000,47950.000000,46750.000000,47950.000000,47950.000000,87490
2019-05-29,47900.000000,47900.000000,46750.000000,47000.000000,47000.000000,75990
2019-05-30,47000.000000,48100.000000,46700.000000,47950.000000,47950.000000,73656
2019-05-31,47950.000000,48900.000000,47200.000000,48650.000000,48650.000000,75244
2019-06-03,48400.000000,48750.000000,47100.000000,47500.000000,47500.000000,95903
2019-06-04,47500.000000,48300.000000,47350.000000,48200.000000,48200.000000,58318
2019-06-05,48800.000000,48900.000000,48150.000000,48450.000000,48450.000000,81943
2019-06-07,48900.000000,49750.000000,48500.000000,49650.000000,49650.000000,105698
2019-06-10,51200.000000,51300.000000,50100.000000,50800.000000,50800.000000,144692
2019-06-11,50800.000000,51200.000000,50300.000000,51000.000000,51000.000000,86008
2019-06-12,51300.000000,51500.000000,49850.000000,50100.000000,50100.000000,103987
2019-06-13,50100.000000,50700.000000,49550.000000,49750.000000,49750.000000,119517
2019-06-14,50200.000000,50200.000000,48650.000000,49250.000000,49250.000000,97315
2019-06-17,49500.000000,52400.000000,49450.000000,51400.000000,51400.000000,486526
2019-06-18,51000.000000,51200.000000,49250.000000,49400.000000,49400.000000,260900
2019-06-19,49400.000000,49750.000000,48100.000000,49550.000000,49550.000000,168002
2019-06-20,49550.000000,49800.000000,49150.000000,49150.000000,49150.000000,89708
2019-06-21,49700.000000,49850.000000,49000.000000,49350.000000,49350.000000,90031
2019-06-24,49500.000000,50400.000000,49500.000000,49750.000000,49750.000000,128896
2019-06-25,50500.000000,50800.000000,49550.000000,49700.000000,49700.000000,151358
2019-06-26,49700.000000,50100.000000,49000.000000,49000.000000,49000.000000,99919
2019-06-27,49000.000000,49400.000000,48050.000000,48300.000000,48300.000000,147507
2019-06-28,48600.000000,48600.000000,47300.000000,47800.000000,47800.000000,73252
2019-07-01,47450.000000,48200.000000,47300.000000,47800.000000,47800.000000,112807
2019-07-02,48150.000000,48950.000000,47900.000000,48400.000000,48400.000000,104704
2019-07-03,49000.000000,49050.000000,46950.000000,47350.000000,47350.000000,112701
2019-07-04,47350.000000,48500.000000,47200.000000,47500.000000,47500.000000,116238
2019-07-05,47500.000000,48250.000000,47250.000000,48200.000000,48200.000000,67303
2019-07-08,48200.000000,48900.000000,46800.000000,46800.000000,46800.000000,141216
